locId,name,imgType,imgUrl,path,parent,model,infoFile,fileList,imgs
ct,中心机房,svg,svgs/ct.svg,ct,null,data/model/ct.html,data/ct/info.html,data/ct/files.html,images/ct/P1040856.JPG;images/ct/P1040887.JPG;images/ct/P1040904.JPG;images/ct/P1040905.JPG;images/ct/P1040899.JPG;images/ct/P1040872.JPG
CT_KT_1,1#空调（主）,img,images/ct/CT_KT_1/P1040882.JPG,ct;CT_KT_1,ct,data/model/kt.html,data/ct/CT_KT_1/info.html,data/ct/CT_KT_1/files.html,images/ct/CT_KT_1/P1040771.JPG;images/ct/CT_KT_1/P1040840.JPG;images/ct/CT_KT_1/P1040841.JPG;images/ct/CT_KT_1/P1040842.JPG;images/ct/CT_KT_1/P1040849.JPG;images/ct/CT_KT_1/P1040850.JPG;images/ct/CT_KT_1/P1040851.JPG;images/ct/CT_KT_1/P1040882.JPG;images/ct/CT_KT_1/P1040884.JPG;images/ct/CT_KT_1/P1040886.JPG;images/ct/CT_KT_1/P1040905.JPG
CT_KT_2,2#空调（副）,img,images/ct/CT_KT_2/P1040876.JPG,ct;CT_KT_2,ct,data/model/kt.html,data/ct/CT_KT_2/info.html,data/ct/CT_KT_1/files.html,images/ct/CT_KT_2/P1040876.JPG;images/ct/CT_KT_2/P1040880.JPG
CT_G_A01,机柜A01,svg,svgs/ct_jigui/A01.svg,ct;CT_G_A01,ct,data/model/jigui.html,data/ct/jigui_info/A01.html,data/ct/jigui_info/files.html,
CT_G_A02,机柜A02,svg,svgs/ct_jigui/A02.svg,ct;CT_G_A02,ct,data/model/jigui.html,data/ct/jigui_info/A02.html,data/ct/jigui_info/files.html,
CT_G_A03,机柜A03,svg,svgs/ct_jigui/A03.svg,ct;CT_G_A03,ct,data/model/jigui.html,data/ct/jigui_info/A03.html,data/ct/jigui_info/files.html,
CT_G_A04,机柜A04,svg,svgs/ct_jigui/A04.svg,ct;CT_G_A04,ct,data/model/jigui.html,data/ct/jigui_info/A04.html,data/ct/jigui_info/files.html,
CT_G_A05,机柜A05,svg,svgs/ct_jigui/A05.svg,ct;CT_G_A05,ct,data/model/jigui.html,data/ct/jigui_info/A05.html,data/ct/jigui_info/files.html,
CT_G_A06,机柜A06,svg,svgs/ct_jigui/A06.svg,ct;CT_G_A06,ct,data/model/jigui.html,data/ct/jigui_info/A06.html,data/ct/jigui_info/files.html,
CT_G_A07,机柜A07,svg,svgs/ct_jigui/A07.svg,ct;CT_G_A07,ct,data/model/jigui.html,data/ct/jigui_info/A07.html,data/ct/jigui_info/files.html,
CT_G_A08,机柜A08,svg,svgs/ct_jigui/A08.svg,ct;CT_G_A08,ct,data/model/jigui.html,data/ct/jigui_info/A08.html,data/ct/jigui_info/files.html,
CT_G_A09,机柜A09,svg,svgs/ct_jigui/A09.svg,ct;CT_G_A09,ct,data/model/jigui.html,data/ct/jigui_info/A09.html,data/ct/jigui_info/files.html,
CT_G_A10,机柜A10,svg,svgs/ct_jigui/A10.svg,ct;CT_G_A10,ct,data/model/jigui.html,data/ct/jigui_info/A10.html,data/ct/jigui_info/files.html,
CT_G_A11,机柜A11,svg,svgs/ct_jigui/A11.svg,ct;CT_G_A11,ct,data/model/jigui.html,data/ct/jigui_info/A11.html,data/ct/jigui_info/files.html,
CT_G_A12,机柜A12,svg,svgs/ct_jigui/A12.svg,ct;CT_G_A12,ct,data/model/jigui.html,data/ct/jigui_info/A12.html,data/ct/jigui_info/files.html,
CT_G_A13,机柜A13,svg,svgs/ct_jigui/A13.svg,ct;CT_G_A13,ct,data/model/jigui.html,data/ct/jigui_info/A13.html,data/ct/jigui_info/files.html,
CT_G_A14,机柜A14,svg,svgs/ct_jigui/A14.svg,ct;CT_G_A14,ct,data/model/jigui.html,data/ct/jigui_info/A14.html,data/ct/jigui_info/files.html,
CT_G_A15,机柜A15,svg,svgs/ct_jigui/jigui_blank.svg,ct;CT_G_A15,ct,data/model/jigui.html,data/ct/jigui_info/A15.html,data/ct/jigui_info/files.html,
CT_G_A16,机柜A16,svg,svgs/ct_jigui/jigui_blank.svg,ct;CT_G_A16,ct,data/model/jigui.html,data/ct/jigui_info/A16.html,data/ct/jigui_info/files.html,
CT_G_A17,机柜A17,svg,svgs/ct_jigui/A17.svg,ct;CT_G_A17,ct,data/model/jigui.html,data/ct/jigui_info/A17.html,data/ct/jigui_info/files.html,
CT_G_A18,机柜A18,svg,svgs/ct_jigui/A18.svg,ct;CT_G_A18,ct,data/model/jigui.html,data/ct/jigui_info/A18.html,data/ct/jigui_info/files.html,
CT_G_D07,机柜D07,svg,svgs/ct_jigui/jigui_blank.svg,ct;CT_G_D07,ct,data/model/jigui.html,data/ct/jigui_info/D07.html,data/ct/jigui_info/files.html,
CT_G_D08,机柜D08,svg,svgs/ct_jigui/jigui_blank.svg,ct;CT_G_D08,ct,data/model/jigui.html,data/ct/jigui_info/D08.html,data/ct/jigui_info/files.html,
CT_G_D09,机柜D09,svg,svgs/ct_jigui/jigui_blank.svg,ct;CT_G_D09,ct,data/model/jigui.html,data/ct/jigui_info/D09.html,data/ct/jigui_info/files.html,
